"day","sw_name","percent"
2023-05-19 08:00:00,炼化及贸易II,0.164
2023-05-19 08:00:00,保险II,0.164
2023-05-19 08:00:00,环保设备II,0.164
2023-05-19 08:00:00,食品加工II,0.164
2023-05-19 08:00:00,冶钢原料II,0.164
2023-05-19 08:00:00,医疗服务II,0.164
2023-05-19 08:00:00,农商行II,0.164
2023-05-19 08:00:00,渔业II,0.164
2023-05-19 08:00:00,生物制品II,0.164
2023-05-19 08:00:00,专业零售II,0.164
2023-05-19 08:00:00,工程机械II,0.164
2023-05-19 08:00:00,工业金属II,0.164
2023-05-19 08:00:00,化学纤维II,0.164
2023-05-19 08:00:00,元件II,0.164
2023-05-19 08:00:00,金属非金属新材料II,0.164
2023-05-18 08:00:00,电网设备II,6.84
2023-05-18 08:00:00,通用机械II,5.84
2023-05-18 08:00:00,电力II,4.17
2023-05-18 08:00:00,汽车零部件II,4.17
2023-05-18 08:00:00,服装家纺II,4.01
2023-05-18 08:00:00,专用设备II,4.01
2023-05-18 08:00:00,环境治理II,3.51
2023-05-18 08:00:00,自动化设备II,2.50
2023-05-18 08:00:00,通信设备II,2.34
2023-05-18 08:00:00,化学制品II,2.34
2023-05-18 08:00:00,一般零售II,2.17
2023-05-18 08:00:00,医疗器械II,2.00
2023-05-18 08:00:00,计算机设备II,2.00
2023-05-18 08:00:00,铁路公路II,1.84
2023-05-18 08:00:00,化学制药II,1.67
2023-05-18 08:00:00,房地产开发II,1.67
2023-05-18 08:00:00,船舶制造II,1.50
2023-05-18 08:00:00,煤炭开采II,1.50
2023-05-18 08:00:00,IT服务II,1.34
2023-05-18 08:00:00,电机II,1.34
2023-05-18 08:00:00,风电设备II,1.34
2023-05-18 08:00:00,电子制造II,1.34
2023-05-18 08:00:00,城商行II,1.34
2023-05-18 08:00:00,航空装备II,1.34
2023-05-18 08:00:00,教育II,1.17
2023-05-18 08:00:00,家用轻工II,1.17
2023-05-18 08:00:00,文娱用品II,1.17
2023-05-18 08:00:00,多元金融II,1.17
2023-05-18 08:00:00,纺织制造II,1.17
2023-05-18 08:00:00,燃气II,1.17
2023-05-18 08:00:00,互联网电商II,1.00
2023-05-18 08:00:00,电源设备II,1.00
2023-05-18 08:00:00,软件开发II,1.00
2023-05-18 08:00:00,光学光电子II,1.00
2023-05-18 08:00:00,中药II,1.00
2023-05-18 08:00:00,包装印刷II,0.835
2023-05-18 08:00:00,工程咨询服务II,0.835
2023-05-18 08:00:00,饮料乳品II,0.835
2023-05-18 08:00:00,股份制银行II,0.835
2023-05-18 08:00:00,国有大型银行II,0.835
2023-05-18 08:00:00,通信运营II,0.668
2023-05-18 08:00:00,游戏II,0.668
2023-05-18 08:00:00,基础建设II,0.668
2023-05-18 08:00:00,医药商业II,0.668
