"day","sw_name","position"
2023-05-18 08:00:00,航天装备II,65
2023-05-18 08:00:00,休闲食品II,66
2023-05-18 08:00:00,普钢II,67
2023-05-18 08:00:00,照明设备II,68
2023-05-18 08:00:00,视听器材II,69
2023-05-18 08:00:00,特钢II,70
2023-05-18 08:00:00,农商行II,71
2023-05-18 08:00:00,专业零售II,72
2023-05-18 08:00:00,炼化及贸易II,73
2023-05-18 08:00:00,光伏设备II,74
2023-05-18 08:00:00,军工电子II,75
2023-05-18 08:00:00,汽车服务II,76
2023-05-18 08:00:00,橡胶II,77
2023-05-18 08:00:00,造纸II,78
2023-05-18 08:00:00,综合II,79
2023-05-18 08:00:00,专业服务II,80
2023-05-18 08:00:00,其他交运设备II,81
2023-05-18 08:00:00,工程机械II,82
2023-05-18 08:00:00,数字媒体II,83
2023-05-18 08:00:00,其他电子II,84
2023-05-18 08:00:00,体育II,85
2023-05-18 08:00:00,水泥制造II,86
2023-05-18 08:00:00,Nan,87
2023-05-18 08:00:00,种植业II,88
2023-05-18 08:00:00,白色家电II,89
2023-05-18 08:00:00,小家电II,90
2023-05-18 08:00:00,冶钢原料II,91
2023-05-18 08:00:00,环保设备II,92
2023-05-18 08:00:00,化妆品II,93
2023-05-18 08:00:00,白酒II,94
2023-05-18 08:00:00,食品加工II,95
2023-05-18 08:00:00,生物制品II,96
2023-05-18 08:00:00,电子化学品II,97
2023-05-18 08:00:00,化学纤维II,98
2023-05-18 08:00:00,稀有金属II,99
2023-05-18 08:00:00,渔业II,100
2023-05-17 08:00:00,电网设备II,1
2023-05-17 08:00:00,通用机械II,2
2023-05-17 08:00:00,电力II,3
